Tempo,numero_eventi,energia_max,energia_media,energia_std,energia_min,eventi_ultime_6h,energia_max_ultime_6h,energia_media_ultime_6h,energia_std_ultime_6h,eventi_ultime_12h,energia_max_ultime_12h,energia_media_ultime_12h,energia_std_ultime_12h,eventi_ultime_24h,energia_max_ultime_24h,energia_media_ultime_24h,energia_std_ultime_24h,eventi_ultime_48h,energia_max_ultime_48h,energia_media_ultime_48h,energia_std_ultime_48h,trend_eventi_12h,trend_energia_12h,trend_eventi_24h,trend_energia_24h,varianza_eventi_24h,varianza_energia_24h,ora_del_giorno,giorno_della_settimana,is_notte,is_weekend,event_rate_1h,event_rate_6h,energia_rate_1h,max_energia_futura,Target_Allarme,future_events_above_threshold,bvalue_approx,event_count,bvalue_rolling_24h,bvalue_std_24h,bvalue_change,energia_p25_24h,energia_p50_24h,energia_p75_24h,energia_p90_24h,energia_p95_24h,skewness_eventi_24h,kurtosis_eventi_24h,entropy_24h,autocorr_1h,autocorr_6h
2026-01-02 08:00:00,78,17.0,4.743589743589744,2.1467940303449256,3.0,675.0,17.0,4.8424886773047335,2.1217013251856947,1410.0,17.0,4.905146757851139,2.1433759529369167,1965.0,17.0,5.286116719909984,2.7442963031441407,0.0,0.0,0.0,0.0,-1.7412587412587386,5.071173435440658e-16,5.165652173913043,4.652734942543909e-16,2199.1576086956516,0.0,8,4,0,0,-22.0,-77.0,0.0,17.0,0,0.0,4.743589743589744,78.0,5.286116719909984,0.8463065509817657,-0.1264102564102565,17.0,17.0,17.0,17.0,17.0,0.05143065038866321,-0.5369834787538248,4.323082603523919,0.9745352296211712,0.8378163647101731
2026-01-02 09:00:00,73,17.0,4.808219178082192,2.5421859264473743,3.0,570.0,17.0,4.8114615365731135,2.2189651147541563,1385.0,17.0,4.907022165548465,2.1678321992273095,2003.0,17.0,5.274554423758647,2.7167758229414445,0.0,0.0,0.0,0.0,-4.339160839160836,5.071173435440658e-16,4.567391304347825,4.652734942543909e-16,2104.432971014492,0.0,9,4,0,0,-5.0,-105.0,0.0,17.0,0,0.0,4.808219178082192,73.0,5.274554423758647,0.851045810437025,0.06462943449244829,17.0,17.0,17.0,17.0,17.0,-0.007802048968070123,-0.33969509995314473,4.34029259208127,0.9745352296211712,0.8378163647101731
2026-01-02 10:00:00,88,17.0,4.738636363636363,2.321782500836636,3.0,534.0,17.0,4.81359985524369,2.28198334486803,1375.0,17.0,4.897146624422924,2.1782699412602797,2077.0,17.0,5.192235700814924,2.6297551893622244,0.0,0.0,0.0,0.0,-6.185314685314678,5.071173435440658e-16,3.857826086956521,4.652734942543909e-16,1885.6503623188398,0.0,10,4,0,0,15.0,-36.0,0.0,17.0,0,0.0,4.738636363636363,88.0,5.192235700814924,0.799732710520207,-0.06958281444582859,17.0,17.0,17.0,17.0,17.0,-0.04782493828972053,0.027490545278099354,4.380748570853521,0.9745352296211712,0.8378163647101731
2026-01-02 11:00:00,73,17.0,4.8493150684931505,2.458947566635822,3.0,503.0,17.0,4.809319033325883,2.3277783667921494,1339.0,17.0,4.886883124779005,2.2001652851805136,2133.0,17.0,5.151643436511942,2.5660432725070152,0.0,0.0,0.0,0.0,-8.038461538461531,5.071173435440658e-16,2.9665217391304335,4.652734942543909e-16,1677.679347826086,0.0,11,4,0,0,-15.0,-31.0,0.0,17.0,0,0.0,4.8493150684931505,73.0,5.151643436511942,0.7909730560690343,0.11067870485678721,17.0,17.0,17.0,17.0,17.0,-0.013218678344812588,0.44893445885416394,4.41418230177871,0.9745352296211712,0.8378163647101731
2026-01-02 12:00:00,85,17.0,4.682352941176471,2.2793679403033886,3.0,497.0,17.0,4.78201888249632,2.344284413270587,1294.0,17.0,4.854002280133455,2.2090141301008703,2210.0,17.0,5.002991475727629,2.4476840683832584,0.0,0.0,0.0,0.0,-8.223776223776218,5.071173435440658e-16,2.0486956521739135,4.652734942543909e-16,1383.210144927535,0.0,12,4,0,0,12.0,-6.0,0.0,17.0,0,0.0,4.682352941176471,85.0,5.002991475727629,0.44133025584453656,-0.1669621273166797,17.0,17.0,17.0,17.0,17.0,0.18695706229280346,0.8812338223269713,4.461194112142701,0.9745352296211712,0.8378163647101731
2026-01-02 13:00:00,76,17.0,4.921052631578948,2.6115801494867017,3.0,473.0,17.0,4.790527654426145,2.3934430190091414,1225.0,17.0,4.841101493684573,2.249846538524764,2271.0,17.0,4.930257557598973,2.3820772017877765,0.0,0.0,0.0,0.0,-7.758741258741258,5.071173435440658e-16,1.0499999999999996,4.652734942543909e-16,1129.3749999999986,0.0,13,4,0,0,-9.0,-24.0,0.0,17.0,0,0.0,4.921052631578948,76.0,4.930257557598973,0.26306707390433703,0.23869969040247696,17.0,17.0,17.0,17.0,17.0,0.5725755707497859,1.228690845991515,4.495776063617693,0.9745352296211712,0.8378163647101731
2026-01-02 14:00:00,82,17.0,4.975609756097561,2.4893630984557125,3.0,477.0,17.0,4.829197656510781,2.4505378636942723,1152.0,17.0,4.8358431669077575,2.2861195944399837,2333.0,17.0,4.885491297436372,2.3082631918589547,0.0,0.0,0.0,0.0,-6.125874125874119,5.071173435440658e-16,0.1126086956521754,4.652734942543909e-16,887.2155797101434,0.0,14,4,0,0,6.0,4.0,0.0,17.0,0,0.0,4.975609756097561,82.0,4.885491297436372,0.11264330293092172,0.054557124518613165,17.0,17.0,17.0,17.0,17.0,1.2800165006456226,1.3118581371724063,4.525044491206158,0.9745352296211712,0.8378163647101731
2026-01-02 15:00:00,90,17.0,4.8,2.2941057840288464,3.0,494.0,17.0,4.827827793497082,2.4091911732911844,1064.0,17.0,4.819644665035098,2.31407814402267,2369.0,17.0,4.879472778917854,2.286440716184884,0.0,0.0,0.0,0.0,-2.629370629370628,5.071173435440658e-16,-0.42913043478260815,4.652734942543909e-16,805.9547101449259,0.0,15,4,0,0,8.0,17.0,0.0,17.0,0,0.0,4.8,90.0,4.879472778917854,0.11321387259840147,-0.17560975609756113,17.0,17.0,17.0,17.0,17.0,1.4717637101969965,1.6225154299779674,4.532937347405422,0.9745352296211712,0.8378163647101731
2026-01-02 16:00:00,80,17.0,4.7375,2.320758005807367,3.0,486.0,17.0,4.827638399557689,2.40902042411964,1020.0,17.0,4.820619127400689,2.345501884493835,2378.0,17.0,4.874990677978886,2.277342692608887,0.0,0.0,0.0,0.0,-1.356643356643355,5.071173435440658e-16,-0.9173913043478257,4.652734942543909e-16,787.64492753623,0.0,16,4,0,0,-10.0,-8.0,0.0,17.0,0,0.0,4.7375,80.0,4.874990677978886,0.11671041236620333,-0.0625,17.0,17.0,17.0,17.0,17.0,1.511243429041481,1.7203402076033147,4.534611364367194,0.9745352296211712,0.8378163647101731
2026-01-02 17:00:00,87,17.0,4.839080459770115,2.463092984763361,3.0,500.0,17.0,4.825932631437182,2.409711327140896,1003.0,17.0,4.817625832381532,2.3687448469665227,2385.0,17.0,4.876619030469308,2.279340645888701,0.0,0.0,0.0,0.0,-0.4160839160839132,5.071173435440658e-16,-1.245652173913041,4.652734942543909e-16,778.0706521739113,0.0,17,4,0,0,7.0,14.0,0.0,17.0,0,0.0,4.839080459770115,87.0,4.876619030469308,0.11588837833879993,0.10158045977011554,17.0,17.0,17.0,17.0,17.0,1.5163335137963,1.7612625147958973,4.535491167034564,0.9745352296211712,0.8378163647101731
